,Electron_Flux
2011-01-01 00:00:00,924.483
2011-01-01 01:00:00,772.88806
2011-01-01 02:00:00,673.14844
2011-01-01 03:00:00,711.7602
2011-01-01 04:00:00,669.30646
2011-01-01 05:00:00,638.15344
2011-01-01 06:00:00,627.45105
2011-01-01 07:00:00,615.4813
2011-01-01 08:00:00,672.9088
2011-01-01 09:00:00,742.21783
2011-01-01 10:00:00,931.0693
2011-01-01 11:00:00,1208.8846
2011-01-01 12:00:00,1407.1587
2011-01-01 13:00:00,1448.3612
2011-01-01 14:00:00,1503.8322
2011-01-01 15:00:00,1685.3932
2011-01-01 16:00:00,1836.0159
2011-01-01 17:00:00,1725.2833
2011-01-01 18:00:00,1676.7745
2011-01-01 19:00:00,1570.3412
2011-01-01 20:00:00,1447.1395
2011-01-01 21:00:00,1369.3053
2011-01-01 22:00:00,1399.3484
2011-01-01 23:00:00,1609.3041
2011-01-02 00:00:00,1537.2712
2011-01-02 01:00:00,1361.1091
2011-01-02 02:00:00,1006.415
2011-01-02 03:00:00,882.85394
2011-01-02 04:00:00,986.70325
2011-01-02 05:00:00,1063.7634
2011-01-02 06:00:00,1141.0552
2011-01-02 07:00:00,1173.2183
2011-01-02 08:00:00,1047.7476
2011-01-02 09:00:00,1276.6487
2011-01-02 10:00:00,1661.6583
2011-01-02 11:00:00,1984.2896
2011-01-02 12:00:00,2369.3132
2011-01-02 13:00:00,2467.3606
2011-01-02 14:00:00,2610.7817
2011-01-02 15:00:00,2630.0474
2011-01-02 16:00:00,2506.6145
2011-01-02 17:00:00,2198.8787
2011-01-02 18:00:00,1831.5582
2011-01-02 19:00:00,1965.3064
2011-01-02 20:00:00,1940.7755
2011-01-02 21:00:00,1778.2695
2011-01-02 22:00:00,1403.382
2011-01-02 23:00:00,1163.3763
2011-01-03 00:00:00,1044.4098
2011-01-03 01:00:00,953.453
2011-01-03 02:00:00,898.8878
2011-01-03 03:00:00,734.70526
2011-01-03 04:00:00,530.27045
2011-01-03 05:00:00,608.30005
2011-01-03 06:00:00,766.2353
2011-01-03 07:00:00,845.75446
2011-01-03 08:00:00,865.75995
2011-01-03 09:00:00,993.8481
2011-01-03 10:00:00,1211.1821
2011-01-03 11:00:00,1459.7008
2011-01-03 12:00:00,1543.2073
2011-01-03 13:00:00,1574.7585
2011-01-03 14:00:00,1916.8218
2011-01-03 15:00:00,2262.6177
2011-01-03 16:00:00,2281.0334
2011-01-03 17:00:00,2128.7268
2011-01-03 18:00:00,1706.22
2011-01-03 19:00:00,1468.9377
2011-01-03 20:00:00,1218.2677
2011-01-03 21:00:00,1031.0112
2011-01-03 22:00:00,852.08777
2011-01-03 23:00:00,946.8278
2011-01-04 00:00:00,823.198
2011-01-04 01:00:00,550.10254
2011-01-04 02:00:00,386.89404
2011-01-04 03:00:00,274.07266
2011-01-04 04:00:00,233.42653
2011-01-04 05:00:00,468.60974
2011-01-04 06:00:00,454.8743
2011-01-04 07:00:00,459.80032
2011-01-04 08:00:00,563.34534
2011-01-04 09:00:00,647.9047
2011-01-04 10:00:00,765.63214
2011-01-04 11:00:00,898.46674
2011-01-04 12:00:00,1158.5676
2011-01-04 13:00:00,1243.4022
2011-01-04 14:00:00,1342.4849
2011-01-04 15:00:00,1488.975
2011-01-04 16:00:00,1779.6091
2011-01-04 17:00:00,1726.6699
2011-01-04 18:00:00,1634.4147
2011-01-04 19:00:00,1507.9653
2011-01-04 20:00:00,1420.4602
2011-01-04 21:00:00,1439.4269
2011-01-04 22:00:00,1363.2317
2011-01-04 23:00:00,1264.939
2011-01-05 00:00:00,1234.1593
2011-01-05 01:00:00,1151.7416
2011-01-05 02:00:00,1146.491
2011-01-05 03:00:00,1134.3407
2011-01-05 04:00:00,1147.4667
2011-01-05 05:00:00,1175.5953
2011-01-05 06:00:00,1159.6925
2011-01-05 07:00:00,1176.2924
2011-01-05 08:00:00,1142.6849
2011-01-05 09:00:00,1233.4181
2011-01-05 10:00:00,1335.6991
2011-01-05 11:00:00,1342.4276
2011-01-05 12:00:00,1372.1528
2011-01-05 13:00:00,1495.9312
2011-01-05 14:00:00,1535.0684
2011-01-05 15:00:00,1518.2655
2011-01-05 16:00:00,1460.486
2011-01-05 17:00:00,1440.2994
2011-01-05 18:00:00,1535.1833
2011-01-05 19:00:00,1605.1937
2011-01-05 20:00:00,1444.4208
2011-01-05 21:00:00,1201.2001
2011-01-05 22:00:00,1102.1996
2011-01-05 23:00:00,928.72034
2011-01-06 00:00:00,834.3397
2011-01-06 01:00:00,1171.2797
2011-01-06 02:00:00,1016.2148
2011-01-06 03:00:00,843.60254
2011-01-06 04:00:00,738.49646
2011-01-06 05:00:00,809.1879
2011-01-06 06:00:00,911.4649
2011-01-06 07:00:00,1038.2847
2011-01-06 08:00:00,1162.0077
2011-01-06 09:00:00,1294.7468
2011-01-06 10:00:00,1407.6372
2011-01-06 11:00:00,1467.3107
2011-01-06 12:00:00,1575.8093
2011-01-06 13:00:00,1692.2628
2011-01-06 14:00:00,1693.712
2011-01-06 15:00:00,1897.9937
2011-01-06 16:00:00,1903.036
2011-01-06 17:00:00,2457.7878
2011-01-06 18:00:00,2941.064
2011-01-06 19:00:00,3856.2131
2011-01-06 20:00:00,4204.905
2011-01-06 21:00:00,2840.9536
2011-01-06 22:00:00,715.01215
2011-01-06 23:00:00,29.699999
2011-01-07 00:00:00,16.550695
2011-01-07 01:00:00,16.764593
2011-01-07 02:00:00,20.175835
2011-01-07 03:00:00,22.985765
2011-01-07 04:00:00,23.69356
2011-01-07 05:00:00,30.723211
2011-01-07 06:00:00,62.456547
2011-01-07 07:00:00,119.314735
2011-01-07 08:00:00,126.44981
2011-01-07 09:00:00,184.85837
2011-01-07 10:00:00,491.80682
2011-01-07 11:00:00,710.43713
2011-01-07 12:00:00,936.5339
2011-01-07 13:00:00,1894.412
2011-01-07 14:00:00,3863.087
2011-01-07 15:00:00,5288.143
2011-01-07 16:00:00,7578.903
2011-01-07 17:00:00,12138.363
2011-01-07 18:00:00,12960.246
2011-01-07 19:00:00,11547.215
2011-01-07 20:00:00,20951.969
